Game,Date,Opponent,Location,Hits,Runs,PlayersUsed,ERA
1,022521,North Carolina,Visitor,3,2,11,2.25
2,022721,North Carolina,Visitor,5,1,14,1.23
3,022821,North Carolina,Visitor,9,3,14,3.25
4,030521,Florida St,Visitor,4,0,13,0.0
5,030621,Florida St,Visitor,5,4,14,0.0
6,030721,Florida St,Visitor,5,2,13,2.17
7,031221,Notre Dame,Home,5,5,17,3.55
8,031321,Notre Dame,Home,6,4,16,4.74
9,031421,Notre Dame,Home,9,3,17,2.37
10,032021,Pittsburgh,Home,3,1,11,1.08
11,032121,Pittsburgh,Home,5,2,14,2.37
12,032221,Pittsburgh,Home,11,10,13,7.59
13,032621,Miami,Home,13,6,18,7.11
14,032721,Miami,Home,1,4,12,4.0
15,032821,Miami,Home,6,2,14,1.0
16,040121,Georgia Tech,Visitor,9,5,15,4.5
17,040221,Georgia Tech,Visitor,9,8,14,4.0
18,040321,Georgia Tech,Visitor,13,11,13,13.03
19,040921,Clemson,Visitor,5,1,15,1.23
20,041021,Clemson,Visitor,13,8,14,8.67
21,041121,Clemson,Visitor,12,6,16,3.25
22,041621,Louisville,Home,14,8,12,4.84
23,041721,Louisville,Home,8,5,13,5.0
24,041821,Louisville,Home,7,2,15,2.17
25,042321,Duke,Home,13,9,12,9.0
26,042421,Duke,Home,8,4,13,4.34
27,042521,Duke,Home,9,4,13,3.25
28,043021,Virginia Tech,Visitor,17,18,15,13.0
29,050121,Virginia Tech,Visitor,4,3,16,1.23
30,050221,Virginia Tech,Visitor,9,6,12,5.0
31,051421,Wake Forest,Home,14,17,17,13.01
32,051521,Wake Forest,Home,9,6,15,5.92
33,051621,Wake Forest,Home,11,5,14,5.0
34,052021,Boston College,Visitor,15,7,12,5.42
35,052121,Boston College,Visitor,9,9,14,9.0
36,052221,Boston College,Visitor,13,6,16,7.4
